#,H,OPT_H,H/OPT_H
1,10000,10000,1
2,10000,10000,1
3,10000,10000,1
4,10000,10000,1
5,10000,10000,1
6,10000,10000,1
7,10000,10000,1
8,10000,10000,1
9,10000,10000,1
10,10000,10000,1
11,10000,10000,1
12,10000,10000,1
13,10000,10000,1
14,10000,10000,1
15,10000,10000,1
16,10000,10000,1
17,10000,10000,1
18,10000,10000,1
19,10000,10000,1
20,10000,10000,1
21,10000,10000,1
22,10000,10000,1
23,10000,10000,1
24,10000,10000,1
25,10000,10000,1
26,10000,10000,1
27,10000,10000,1
28,10000,10000,1
29,10000,10000,1
30,10000,10000,1
31,10000,10000,1
32,10000,10000,1
33,10000,10000,1
34,10000,10000,1
35,10000,10000,1
36,10000,10000,1
37,10000,10000,1
38,10000,10000,1
39,10000,10000,1
40,10000,10000,1
41,10000,10000,1
42,10000,10000,1
43,10000,10000,1
44,10000,10000,1
45,10000,10000,1
46,10000,10000,1
47,10000,10000,1
48,10000,10000,1
49,10000,10000,1
50,10000,10000,1
51,10000,10000,1
52,10000,10000,1
53,10000,10000,1
54,10000,10000,1
55,10000,10000,1
56,10000,10000,1
57,10000,10000,1
58,10000,10000,1
59,10000,10000,1
60,10000,10000,1
61,10000,10000,1
62,10000,10000,1
63,10000,10000,1
64,10000,10000,1
65,10000,10000,1
66,10000,10000,1
67,10000,10000,1
68,10000,10000,1
69,10000,10000,1
70,10000,10000,1
71,10000,10000,1
72,10000,10000,1
73,10000,10000,1
74,10000,10000,1
75,10000,10000,1
76,10000,10000,1
77,10000,10000,1
78,10000,10000,1
79,10000,10000,1
80,10000,10000,1
81,10000,10000,1
82,10000,10000,1
83,10000,10000,1
84,10000,10000,1
85,10000,10000,1
86,10000,10000,1
87,10000,10000,1
88,10000,10000,1
89,10000,10000,1
90,10000,10000,1
91,10000,10000,1
92,10000,10000,1
93,10000,10000,1
94,10000,10000,1
95,10000,10000,1
96,10000,10000,1
97,10000,10000,1
98,10000,10000,1
99,10000,10000,1
100,10000,10000,1
101,10000,10000,1
102,10000,10000,1
103,10000,10000,1
104,10000,10000,1
105,10000,10000,1
106,10000,10000,1
107,10000,10000,1
108,10000,10000,1
109,10000,10000,1
110,10000,10000,1
111,10000,10000,1
112,10000,10000,1
113,10000,10000,1
114,10000,10000,1
115,10000,10000,1
116,10000,10000,1
117,10000,10000,1
118,10000,10000,1
119,10000,10000,1
120,10000,10000,1
121,10000,10000,1
122,10000,10000,1
123,10000,10000,1
124,10000,10000,1
125,10000,10000,1
126,10000,10000,1
127,10000,10000,1
128,10000,10000,1
129,10000,10000,1
130,10000,10000,1
131,10000,10000,1
132,10000,10000,1
133,10000,10000,1
134,10000,10000,1
135,10000,10000,1
136,10000,10000,1
137,10000,10000,1
138,10000,10000,1
139,10000,10000,1
140,10000,10000,1
141,10000,10000,1
142,10000,10000,1
143,10000,10000,1
144,10000,10000,1
145,10000,10000,1
